property_type,state_name,place_name_clean,surface_total_m2_clean,price_usd_per_m2_clean,rooms_clean,keyword_category
PH,Capital Federal,Mataderos,55.0,1127.27,2.0,low
apartment,Capital Federal,Mataderos,55.0,1309.09,2.0,low
apartment,Buenos Aires Costa Atlántica,Centro,35.0,1828.57,2.0,low
PH,Bs.As. G.B.A. Zona Norte,Munro,106.0,1226.42,3.0,low
apartment,Capital Federal,Belgrano,45.0,3066.67,1.0,medium
apartment,Capital Federal,Belgrano,65.0,3000.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Martínez,39.0,2948.72,2.0,medium
apartment,Capital Federal,Palermo Soho,50.0,2234.0,1.0,medium
apartment,Capital Federal,Palermo Soho,42.0,3521.43,1.0,medium
house,Bs.As. G.B.A. Zona Norte,Bella Vista,164.0,1524.39,4.0,medium
PH,Capital Federal,Mataderos,140.0,1707.14,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Barrio El Golf,176.0,1789.77,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,270.0,2111.11,2.0,low
apartment,Capital Federal,Palermo,104.0,3365.38,3.0,medium
apartment,Capital Federal,Palermo,118.0,2292.37,4.0,low
house,Bs.As. G.B.A. Zona Oeste,General Rodríguez,200.0,1450.0,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Pilar,48.0,1708.33,2.0,medium
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2218.75,4.0,high
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2240.94,4.0,high
house,Bs.As. G.B.A. Zona Norte,Barrio San Gabriel,230.0,1152.17,2.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2263.44,4.0,high
apartment,Capital Federal,Flores,43.0,1744.19,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Pilar,150.0,1186.67,4.0,medium
house,Bs.As. G.B.A. Zona Norte,Munro,207.0,628.02,3.0,medium
apartment,Córdoba,Córdoba,50.0,616.92,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Barrio El Golf,186.0,1747.31,3.0,high
PH,Bs.As. G.B.A. Zona Norte,Munro,172.0,982.56,6.0,medium
apartment,Capital Federal,Boedo,80.0,1812.5,4.0,medium
house,Córdoba,Malagueño,75.0,934.73,3.0,low
apartment,Capital Federal,Las Cañitas,220.0,2181.82,3.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,120.0,1066.67,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Del Viso,138.0,869.57,3.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,47.0,1574.47,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Pilar,32.0,2468.75,1.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,209.0,1531.1,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Pilar,30.0,1566.67,1.0,high
PH,Bs.As. G.B.A. Zona Norte,Pilar,140.0,1178.57,4.0,high
house,Capital Federal,Puerto Madero,80.0,875.0,1.0,low
apartment,Capital Federal,Balvanera,141.0,1702.13,5.0,medium
house,Bs.As. G.B.A. Zona Norte,Escobar,250.0,980.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,142.0,3098.59,4.0,high
apartment,Capital Federal,Caballito,50.0,2200.0,3.0,low
apartment,Capital Federal,Caballito,100.0,1705.0,2.0,low
apartment,Capital Federal,Caballito,81.0,2721.11,3.0,low
apartment,Capital Federal,Caballito,81.0,2750.37,3.0,low
apartment,Capital Federal,Caballito,70.0,1542.86,3.0,low
apartment,Capital Federal,Nuñez,50.0,3460.0,2.0,high
